model,score_test_count,score_test_mean,score_test_std,score_test_min,score_test_25%,score_test_50%,score_test_75%,score_test_max,score_val_count,score_val_mean,score_val_std,score_val_min,score_val_25%,score_val_50%,score_val_75%,score_val_max
CatBoost,50.0,0.7600796296296298,0.09931512130034816,0.56875,0.7025,0.7514010721247564,0.8327777777777778,0.9361111111111112,50.0,0.7616327160493828,0.04167294039813322,0.6873456790123456,0.7348765432098766,0.7552469135802471,0.7840663580246914,0.8895061728395062
ExtraTreesEntr,50.0,0.7296595029239765,0.08931091433175244,0.5812499999999999,0.6545138888888888,0.7358503898635478,0.7969270833333334,0.9211111111111112,50.0,0.6921635802469136,0.052897869243169124,0.5982253086419753,0.6546875,0.6937885802469135,0.7300154320987655,0.8392746913580247
ExtraTreesGini,50.0,0.7287399853801171,0.09754015116475201,0.5379166666666667,0.6465104166666666,0.7144675925925926,0.8072222222222224,0.9466666666666668,50.0,0.6948888888888888,0.05129147124087621,0.5970679012345679,0.6562885802469136,0.680979938271605,0.7406442901234569,0.8183641975308641
LightGBM,50.0,0.5755598440545809,0.09819995331120449,0.3961111111111111,0.5076388888888889,0.557361111111111,0.6391666666666667,0.8728070175438597,50.0,0.6084074074074075,0.06196769752374793,0.4466049382716049,0.5647376543209877,0.6092592592592592,0.64945987654321,0.7320987654320987
LightGBMLarge,50.0,0.5998418615984406,0.0875607684992129,0.4141666666666667,0.5542824074074073,0.5992361111111111,0.6478819444444445,0.7992202729044834,50.0,0.6307901234567901,0.05605287158259482,0.4976851851851851,0.5912808641975309,0.6368827160493827,0.662770061728395,0.7305555555555555
LightGBMXT,50.0,0.5768517056530215,0.0995146601107763,0.3226120857699805,0.49486111111111114,0.5907638888888889,0.6373611111111112,0.8898635477582846,50.0,0.6156574074074074,0.05652217859606467,0.474537037037037,0.5824459876543209,0.609104938271605,0.6529320987654321,0.75
NeuralNetFastAI,50.0,0.6846940545808968,0.08796532247492413,0.4970833333333333,0.6276620370370372,0.6858333333333335,0.7631944444444445,0.8427777777777777,50.0,0.6588765432098767,0.05911988365289992,0.516358024691358,0.6205632716049383,0.656712962962963,0.6887731481481482,0.7947530864197531
NeuralNetTorch,50.0,0.6400597465886939,0.1263026189748414,0.2348927875243665,0.5956250000000001,0.6507175925925928,0.7202083333333333,0.8629166666666667,50.0,0.6888425925925926,0.061290215782046485,0.4921296296296296,0.658912037037037,0.6935185185185184,0.7236111111111111,0.8189814814814816
RandomForestEntr,50.0,0.7441600146198829,0.09842653757939823,0.5795833333333333,0.67328125,0.735625,0.8076388888888888,0.9538888888888888,50.0,0.7075586419753086,0.048341116832279,0.6096450617283949,0.6797453703703703,0.7096450617283951,0.750270061728395,0.8098765432098766
RandomForestGini,50.0,0.7429300438596491,0.09660310922311013,0.5906250000000001,0.6637609649122808,0.7387183235867447,0.8109731359649124,0.9647222222222224,50.0,0.7074722222222222,0.05366973582797316,0.5782407407407407,0.6722993827160494,0.7106095679012345,0.7448881172839505,0.801929012345679
WeightedEnsemble_L2,50.0,0.7041836257309941,0.1794658594739412,0.2605555555555556,0.6458680555555556,0.7327923976608188,0.816875,0.9583333333333334,50.0,0.8113333333333332,0.037160173130253486,0.7310185185185185,0.7910108024691359,0.8138888888888889,0.8320987654320988,0.8902777777777778
XGBoost,50.0,0.7708504385964914,0.09054174412206599,0.5725,0.7060355750487329,0.7737499999999999,0.8328703703703704,0.9736842105263158,50.0,0.7537932098765432,0.04992980923861547,0.6430555555555556,0.7176311728395062,0.7517746913580248,0.788233024691358,0.8516975308641975
